text_cleaned,Product
In XXXX XXXX after the XXXX data breach I froze my credit at Equifax and XXXX I could not freeze my credit at Experian because of system problems I was given a pin number and after trying to freeze my credit by telephone I was told I needed to mail the request in I chose not to mail the request so my credit report with Experian was not authorized to be frozen Today my potential mortgage lender XXXX XXXX could not pull my credit because they were told that my credit was frozen by Experian Per my request XXXX and XXXX had unfrozen my credit However because of Experian they could not proceed This is my complaint Experian is not accessible by telephone to unfreeze credit neither do they give an option to talk to a person I called the number they publicized XXXX XXXX times Also I called the two numbers XXXX XXXX gave me XXXX and XXXX and heard the same prompts 1or 2 nothing for freeze and no option for a representative I just checked online using my Experian PIN and the message I received you do not currently have a security freeze on your account So if I do not have a security freeze on my account why are they reporting it as frozen I need to talk to someone to get this issue resolved My credit at XXXX and XXXX will refreeze on XX XX XXXX XX XX XXXX,"Credit reporting, repair, or other"
XXXX XXXX XXXX SOC SEC XXXX DOB XX XX XXXX XXXX XXXX XXXX XXXX XXXX FL XXXX Attention dispute department RE Unauthorized Credit Inquiry Dear Sir Madam This letter is your formal notice to cease the unauthorized hard inquiries you are making intomy insert the name of the credit bureau here credit report This is also a formal demandfor you to immediately contact the credit reporting agencies and credit bureaus where your organization has made inquiries into my credit history to have these illegal inquiriesremoved Be advised that I will be checking my reports to ensure you have had thefollowing unauthorized inquiries taken off my credit report Line Item XXXX XXXX XXXX Inquiry XX XX XXXX Credit Unions XXXX XXXX XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies XXXX XXXX XXXX Inquiry XX XX XXXX Miscellaneous Reptg Agencies To the best of my knowledge I have not signed any documents authorizing your organization to view my credit history As such your inquiry into my credit report violates theFair Credit Reporting Act Section 1681b c Transactions Not Initiated by Consumer If you have any document that you believe authorizes you or your organization to make theaforementioned inquiry inquiries into my credit report I respectfully request that a copy of itbe sent to my address so that I may verify its validity Given the growing cases of identitytheft I m sure that you ll agree with me that verification will protect both our interests In the event that you do not possess my authorization I request that once you haveremoved all unauthorized inquiries from my credit profiles you should also remove all of mypersonal information from your records Please send me confirmation that you havecomplied with these requests Thank you Sincerely XXXX XXXX XXXX SOC SEC XXXX DOB XX XX XXXXXXXX XXXX XXXX XXXX XXXX FL XXXX,"Credit reporting, repair, or other"
On XX XX 2018 around XXXX XXXX I deposited 2 cheques for 200 00 each at a Chase Bank ATM in the city where I live and the cheques got stuck They issued a temporary credit of 400 00 After 3 weeks I received a letter that since they could not find the cheques they are reversing the credit I called the XXXX XXXX representative and the local bank and all they could do was apologize They just advised me to ask the cheque issuer to send me replacement cheques I deposit a lot of cheques and of course it is hard for me to trace who issued them It is so frustrating and I am very upset about this ,Checking or savings account
On or about XX XX XXXX I purchased a vehicle from XXXX XXXX XXXX for 10000 00 financed through Ally Financial The car was repossessed on or about XX XX XXXX I mailed a letter to XXXX and XXXX XXXX disputing the full amount of the vehicle XXXX is requesting me to pay since the vehicle has been sold After the vehicle was reposed I did not receive any notices 1 Which states that the they have the car in their possession and that the car will be sold to recover the amount owed This is called the Notice of Sale which I did not receive which should have been done within ten days of their possession of the vehicle Since they did not provide me with this information they can be barred from collecting on a deficiency judgment 2 After the vehicle is sold the lender then is required to send me a second notice stating the amount that they credited me from the resale as well as a cancellation notice of the original sales contract Since there were a GAP Insurance and service contract on the vehicle into the original purchase these amounts should have been deducted from the amount that the XXXX states I own ,"Credit reporting, repair, or other"
I have reached out several times by mail and by internet THESE ACCOUNTS ARE REPORTING INCORRECTLY I have never missed a payment and i have never been late on any payments I would like to see how the CRA investigated this dispute I would also like the name and the phone number of the person they spoke to I would also like to see a print out of the late payment history from the bank they did the investigation with I DO NOT WANT TO SEE COMPUTER GENERATED PRINTOUTS FROM XXXX I want to see the actual paperwork they received from the bank itself All of these accounts are closed in good standing If the late payments are not corrected please remove the closed accounts XXXX XXXX XXXX ,"Credit reporting, repair, or other"
I was trying to figure out how these address on my credit that are not mine This is very annoying for my job verification The addresses below are showing on my credit report and are not mine I need them deleted asap I live at XXXX XXXX XXXX XXXX XXXX OH XXXX Please remove all other XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX IN XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX I have old or unrecognized numbers showing on my XXXX XXXX report pleas XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,"Credit reporting, repair, or other"
In XXXX or XX XX 2017 I visited XXXX XXXX XXXX XXXX in XXXX CO I had work done including an XXXX on a small XXXX I had asked the office to pre authorize the work 6 months later I received a bill that there was an unpaid balance that was overdue but it was the first communication from the office While trying to discuss the information with the company they deferred it to Offender Amerassist Country USA State Ohio City XXXX Address XXXX XXXX XXXX Phone XXXX Site arsolutions com Since I have written documentation from XXXX XXXX XXXX XXXX that because of the situation they are going to simply write off the balance and to ignore invoicing I have communicated this information to Amerassist and provided them with the written documentation They refuse to close the account and continue attempts to collect money for no reason,Debt collection
I opened a checking account with Golden One Credit Union on XX XX XXXX I funded it with 100 00 then on XX XX XXXX I deposited a cashier s check for 4000 00 I waited and waited but never did receive my bank card So on XX XX XXXX I called Golden One and they told me that they had sent out the card already Then they told me that it had already been activated and used all 4100 00 had been withdrawn spent I filed a police report and filled out Golden One s fraud paperwork Golden One gave me a temporary credit then they reversed themselves and said that I owed them 4100 00 They then sent me to a collections company called The XXXX XXXX XXXX I sent them a copy of the police report They then sent me a letter on XX XX XXXX stating Based on the information that you have provided the original creditor and our company do not consider your dispute valid and therefore the collection process will continue ,Debt collection
TWO SIMILAR ISSUES 1 On XX XX 2018 I deposited a check from a business client into my WellsFargo business account XXXX in the sum of 10000 00 On the morning of XX XX 2018 I received a message that there is a hold placed on the 10000 00 for the reason Insufficient Funds At Inquiry and that the funds would be available on XX XX 2018 On the same date a received a letter stating that my overdraft protection was used in the about of 1500 00 to cover overdrawn account resulting from hold After one week Wells Fargo sent me another letter XX XX 2018 stating that the 10000 00 check is being returned unpaid and that my account is being charged a 12 00 fee The letter also stated We are sending you a paper copy of these checks via U S mail which includes the front and back image of the returned check s for your reference As of this date XX XX 2018 I have not received the returned check I contacted the business that issued me the check on XX XX XXXX and she assured me that the check was good and that Wells Fargo must have a problem She then contacted her banker at XXXX regarding the problem The XXXX banker looked at her account and said the check has never been presented to us I immediately contacted my business banker at Wells Fargo and he assured me that Wells Fargo couldn t have made the error because this is all handled electronically I begged him to pursue this further and get me a copy of the check He was able to send me a digital copy on XX XX XXXX Once I looked at the document that he emailed me it was clear that Wells Fargo attempted to collect the funds from the wrong account The account number that they presented the check to did not match the check I brought this to the attention of my business banker and he said when you receive the check back please bring it in and I see if I can do anything Again to date I have not received the check If I call my customer and request that she issue another check she is going to want the open check returned This part is very embarrassing and unprofessional I feel like Wells Fargo shouldn t be putting all this on me after all this was their mistake This morning a manager of a local Wells Fargo branch told me that I will NOT be receiving the returned check so that just added to my frustration and now I don t know what to do to get my 10000 00 I have attached all the letters and documents to support this 2 On XX XX XXXX I deposited a check for 10000 00 into my personal checking account XXXX I was told at the time of the deposit that there would be no hold placed on the funds The next morning I checked my account and found that a hold on as been placed on these funds Upon further investigation I learned that the funds are being held because Insufficient Funds At Inquiry way to familiar Wells Fargo sent notice today XX XX XXXX stating that the funds are being held until XX XX XXXX I called my friend that issued the check and his bank cleared the check on XX XX XXXX which is the date of the deposit Therefore it s a lie that the funds were insufficient at time of the deposit because Wells Fargo received the funds The issuer of the check emailed me documentation from his bank showing that the funds have cleared and I sent that to Wells Fargo I have spoken with two different Wells Fargo employees regarding this matter and my person banker said that because he knows me he will release the funds within 30 minutes It s now 3 hr s later and no funds He just called me stated that the document that I provided is not enough evidence to establish that the funds cleared as per his manage and that they will continue to hold these funds I have attached documentation showing the cleared funds Please advise I really need this 20000 00 ,Checking or savings account
Over a month ago I e mailed Navient about incorrect information that was reported to my credit reports They have not responded nor have they removed the information that is incorrect ,Student loan
I have a loan with CAPITAL ONE I have always made my payments on time For some reason I realized that there was a late payment on my credit report As you can see I have always had a stellar payment record with this company I tried contacting both XXXX XXXX XXXX and CAPITAL ONE with no successful resolution XXXX XXXX and XXXX were reporting me late There was definitely an error on their part I was never 30 days late XXXX XXXX XX XX 2016 ,Credit card or prepaid card
TRANSUNION CREDIT REPORT Report is showing the account XXXX XXXX XXXX with a Balance of 100 00 This account has had s XXXX balance since the beginning of XX XX 2018 It is showing correctly in the XXXX file I have attempted to contact them and yo fill out their online dispute form but no success I even emailed XXXX XXXX who instructiontef me to contact TRANSUNION directly and if no success file a complaint with you I was unable to get in touch with TRANSUNION I will attach a copy of the Statement for proof Thank you,"Credit reporting, repair, or other"
Disputed inaccurate bankruptcy information and XXXX refused to dispute information through contacting the court house I would like this inaccurate information deleted Thanks,"Credit reporting, repair, or other"
On XX XX 2018 I checked my XXXX XXXX score and was SHOCKED to see that in about 10 days my score had dropped by almost 30 points They also noted a hard inquiry from XXXX XXXX Credit Cards Airlines that was applied for or posted on XX XX 18 I never applied for a credit card or had an inquiry run and this is fraudulent I called Equifax on XX XX 18 to be told that they saw no such inquiry on my report I can not even get through to XXXX I called XXXX XXXX and was advised that they have no record of anything and I was given the runaround to call the credit bureaus When I call the credit bureaus I am told to call XXXX Can you please help me I asked for no inquiries and have not applied for anything I look forward to hearing from you ,"Credit reporting, repair, or other"
On XX XX 2018 I received a text message telling me that a purchase was made in the amount of 220 00 at XXXX XXXX I called Netspend immediately to report the transaction and to have my card cancelled On XX XX 2018 I received a letter from Netspend stating that they did not find that any error had occurred At that point I called XXXX XXXX to find out who purchased the ticket and where they flew from and to I found that the ticket was purchased in XXXX XXXX by a male named XXXX XXXX and that he flew to XXXX I live in XXXX XXXX which is near XXXX and have never been to Texas and did not authorize this purchase and have never heard the name XXXX XXXX I relayed this information to Netspend and was told that they would investigate it further This was about a month ago I have called and requested for their Fraud Dept to call me back and have not received a call back It seems that they do not have a direct line for you to call for their fraud dept I made another request today and as of yet have heard nothing ,Credit card or prepaid card
In XX XX 2015 I opened a Credit Card with Pentagon Federal Credit Union I fell on hard times due to a accident that left me incapacitated Nonetheless when I received my settlement money I called Pentagon Federal and spoke with a nice woman about taking payment for both my line of credit and credit card The woman advised me that she would have someone give me a call back making sure that I was still able to pay on the card since it was close to approaching Charge Off Status The woman called me back the following day and stated that I just met the cut off stated her supervisor and she then proceeded to take the payment information I would never pay money that I do not have just to have them report my credit on my credit as a charge off I could have kept my money In good faith I called to pay them and now they are stating that it was paid after it was charged off If this is the case they need to give me back my money The woman I spoke with was 100 certain that it had not reached charge off status and that was how I was even able to pay the balance This makes no sense and they are hurting my chances of purchasing a new home because of it Not to mention my daughters tuition payments hold a higher than usual interest payment since they did this XXXX I have the name of the woman some place and will send that in as soon as I locate it I am tired of trying to fight these people to do what is right ,Credit card or prepaid card
Received a letter from Discover to provide photo ID and SOCIAL SECURITY CARD PHOTOS I am law enforcement and often on Special assignment The letter was received 10 days after sent to me I called Discover and made them aware of my situation One I did not have a copy of my Social Security card and had to make a trip to the SS office to order a new one Once I went to the office I was made aware that the SS offcie no Longer gave Receipts that included the Social Security number It only ststed that a new card was processed I forwarded Discover what they asked for However they had advised me it was 24 hours to late and the card was closed I asked to speak to a Supervisor and was denied that opportunity on several occasions Now the card is revoked and i was told was the card was closed all of the points and cash back earned would be credited to the card However there is clear discrimination here because was receiving my photo ID the call was made to close the account based on ethnicity Today they called me and said the card was not revoked and wanted a payment i asked for a aSupervisor then and was told that I could reapply for the card this card has clearly damaged my credit I have attempted several times to resolve this amicably with this company ,Credit card or prepaid card
I was told repeatly that there was not any origination or up front fees with this loan when I spoke numerous times with account representative on the phone When loan dispersed I was charged a origination fee of 480 00 on the 8000 00 loan I called numerous times to Lending Club XXXX only to be put on hold and then hung up on told they would look into it and get back to me and refused to let me speak with a supervisor I then sent them a letter and email regarding my issues they then debited my checking account 4 days early for the monthly payment which caused issues with my checking account overdraft I called again about both of these issues and was again told someone would address my problems but they never called or emailed me I proceeded to close my checking account so they could no longer debit it They violated the terms of our agreement contract on origination fee and early debiting my checking prior to the agreed due date of a payment Lending Club never addressed my issues and sent the account to a collection agency I have been receiving harrasing phone calls from 4 different agencies legal that claim to have the account and my credit reports shows chargoff and collections ,"Payday loan, title loan, or personal loan"
Portfolio Recovery changed the status of an old account from closed to open as retaliation of my dispute i XX XX XXXX also the information they provided as proof of debt is not sufficient I requested copies of any charges I made with said car and all they have is an old letter from XX XX XXXX from the original creditor telling me that I am 6 and 7 months behind on the account and that it is charged off this does not verify it is my account and the same letters are showing the account as being charge off yet no evidence that I used this card or have knowledge of it as I currently have accounts with XXXX XXXXXXXX So it is reporting by portfolio as open yet on my credit file in XX XX XXXX and XX XX XXXX they reported it as closed so now they are trying to retaliated against me as they he promised to cease all collection activities on this account thus as it is uncollectible it should be reported as closed as it was before I disputed it ,"Credit reporting, repair, or other"
XX XX XXXX XXXX payment 1600 00 XX XX XXXX XXXX payment 390 00 XX XX XXXX XXXX PAYMENT 750 00 Future attempt to seize paycheck 810 00 I have asked since day one to provide proof of purchase Only thing delivered has been a balance statement None of the statements have any item for what was purchased,Debt collection
On XX XX 18 I received a notice from XXXX app that my XXXX score droped from XXXX to XXXX The allege cause for this drop was due to a high balance in my Barclay credit card account According to the contract terms I have with Barclay service my due date is the XXXX of every month and they report to the CRA the XXXX of every month On the XX XX 2018 my account balance was XXXX Barclays representative refuse to give me a copy of the requisition allegedly sent of XX XX XXXX nevertheless XXXX representatives told me it was not sent untilXX XX 2018 at the time balance had changed due to my usage My FCRA rights were violated by Barclay causing an adverse affect on my credit score ,"Credit reporting, repair, or other"
I went to Wells Fargo to open a joint checking account on XX XX XXXX I was turned down by there XXXX because Wells Fargo was reporting that I had a charged off credit card with them and owed them money The banker contacted the credit department and the recovery department both showed I paid off the account in XXXX When you review my credit report it also shows that I paid off the credit card in XXXX After over an hour on the phone the banker was unable to resolve the issue and said they would need to refer it to an escalation team This seems to be a new error that has popped up because I was able to open a new checking account with Wells Fargo back in XXXX which would have been after the supposed nonpayment on this credit card ,"Credit reporting, repair, or other"
I have been trying to obtain my credit reports online but I am receiving very confusing and wrong instructions as to the reasons why the credit reporting agencies can not comply At one point during the online identification process I was asked several questions with multiple choices answers related to past addresses and entities I had done business with While answering those questions I noticed that none of the answers regarding entities I had done business with relate to me I had to choose a response saying none of the above Most of the multiple choices answers were about accounts opened over the past 10 years I did not open any accounts whatsoever in the past XXXX years I believed there was some kind of mistake so I tried again with a new browser session but on my second attempt did not even have the option to answer the multiple choice questions The XXXX website immediately instructed me to mail the form to request my credit reports I need those Credit Reporting agencies to treat me with the same level of professionalism not making it any more difficult for me to obtain my credit reports online in the same manner they would to most people in my situation,"Credit reporting, repair, or other"
I had a joint account for a mortgage loan that was included in my previously discharged Chapter XXXX The loan was sold to a different company thats trying to illegally Re report the same discharged debt Ive repeatedly reported to Equifax that this account should be removed from my file They would take it off then it would reappear months later The company is XXXX XXXX XXXX This company is willfully violating the Fair Credit Reporting Act Equifax is allowing them to do so by not removing this completely from my file XXXX and XXXX already removed from their file ,"Credit reporting, repair, or other"
onXX XX XXXX or XX XX XXXX I came to Chase Bank which located in the XXXX XXXX XXXX XXXX XXXX AZ XXXX with my friend to deposit cash around 1400 00 to ATM machine which stand in the lobby We deposited two times coz one time can not deposit all of them and when we do the second time the machine was stuck and after 5 10 mins loading circle the screen showed need the bank supports help and the ATM machine didn t come out any receipt or paper to show what s going on we called the staff from bank to help us they suggested us to call the bank customer service to do the claim service I called and built the claim case with Chase customer service they just said they ll do the investigation process and will resolve within 10 business days on XX XX 2018 I checked my bank app there is a credit added 1400 00 into my recent transaction but today when I logged into my online account on XX XX 2018 I saw there is a claim reversal transaction showed up which is that 1400 00 amount was reversal then I called the bank they said they can not do anything about this solution coz they already went through the claim process and their back office gave this result but I m definitely disagree with this coz i deposited the cash in the lobby on that day my friends and the lobby staff also saw that coz there is one staff came to ask us is this machine works well we answered yes and they explained with us coz some guest use this machine to deposit money but got in some trouble before so they questioned that means they knew this machine got some problem but i called the bank customer service to ask if there any other way can do it again they said there is nothing he can do i am so angry with this answer coz i was depositing my money through your bank ATM machine but is the machine comes out the problem not because i m lied according to he said can not do anything the only thing i can do is to complain the bank ,Checking or savings account
In XXXX of 2017 My house burned I had to have a public adjuster group assist in getting fair value They took 30K of all monies XXXX gave all monies to the mortgage company Looking at the Freedom Mortgage web I was given 140000 00 140000 00 30000 00 110000 00 Freedom Mortgage gave me 40K and said when done 50 they would give more How do I get 50 done on 25 of the monies I fought for more finally got it and completed 55 They gave me another 25 and said I get the rest when 100 done I fought again How do I finish 100 on 75 of the monies they finally gave me another XXXX and I am at 80 complete I have been fighting to get the remaining XXXX to finish rugs doors dining room floor and molding They will not release it My mortgage is only 720 00 per month In essence Freedom is holding 22 months of mortgage payments The monies given to Freedom were about 40K above the actual mortgage and they did not even put the monies that were technically mine in an interest bearing account I take care of a homeless man and his XXXX XXXX XXXX son which also contributes to expensis All the above letters inspections and requests to Freedom Mortgage can be found on their web sites I will supply anyone with the info to log in and see dates and times ,Mortgage
I recently applied to increase the limit of our exisiting HELOC at KeyBank This was denied but I was told the decision would be reconsidered if I transferred rolledover my IRA to XXXX XXXX XXXX Is it legal for them to do this ,Mortgage
I have contacted XXXX on several occasions requesting verification the method of verification as well who completed the verification I have made the request on several occasions in writing I have also requested this company to complete an investigation into this matter on several occasions in writing as well the Company In my request I have asked this company to investigate verify validate and provide me with specific information that supports the information reported and the company only sends me a reply stating they investigated and verified the information but has FAILED to provide me with who completed the verification validation what was used to verify validate the information yet they have continuously reported the information on my report The companies most recent response to my request was no different than its 3 previous responses except that they will not re investigate what they are claiming is valid I have disputed this matter on several occasions and due to the fact that this company has already violated my rights and ignored all previous requests that I have made in writing and have even responded but did not complete the request that I have the right to make and fell withing FCRA guidelines I am requesting IMMEDIATE removal of the Bankruptcy Ch XXXX from my report as well as the account with XXXX XXXX XXXX XXXX XXXX XXXX,"Credit reporting, repair, or other"
THEY SENT NOTHING TO PROVE ANYTHING JUST A LETTER WITH A BALANCE I RESPECTFULLY REQUEST XXXX INVESTIGATE THIS COMPANY AND IF YOU NEED TO HAVE THE INFO UPLOADED OF THE ONE PAGE THEY SENT I WILL BE HAPPY TO SEND OVER THEY SENT NOTHING TO PROVE THIS DEBT IS MINE NO SIGNATURES NO MEDICAL LABS NO DOC NOTES NO NOTHING I ASKED FOR THIS IN MY DEBT VALIDATION LETTER AND THEY SENT THE SAME 1 PAGE BALNCE WITH NOTHING ATTACH THIS DOES NOT PROVE THIS IS MY DEBT AND IT IS NOT MY DEBT I WILL REPORT TO THE XXXX,Debt collection
XX XX XXXX To Wells Fargo Bank From Complainant XXXX XXXX Re Completely DISAGREE with your decision dated on XX XX XXXX I totally disagree with Wells Fargo s response dated on XX XX XXXX for refusing to pay back my money 120 00 for illegally disburse my money without my consent refusing to pay 1500 00 promotional bonus refusing to pay 3000 00 XXXX 20 interest my whole damages losses trauma pain suffering for all kinds of damages brought by United States perpetrators refusing to pay 750 00 fraudulent checks cashed by XXXX XXXX On XX XX XXXX I personally went to Wells Fargo branch located at XXXX XXXX XXXX XXXX XXXX XXXX XXXX I have showed fee waiver proof to one of Wells Fargo s banking representative I have showed him HOMELESS address on my driver s license because XXXX XXXX XXXX county taking my ownership away by forcing me to be a homeless I also showed him Medicaid Card by receiving Federal Test Means Public benefits I told him that government can not give me a job to save 210 00 per day on me Due to these three factors I can not pay 120 00 to a perpetrator who brought all kinds of damages losses to my life This branch manager showed perpetrator s face to let me close all my accounts I saw his perpetrator s eyes I have asked this branch to pay back my money 160 00 which caused by XXXX XXXX XXXX county Once this branch pay back my money I can close my accounts according to XXXX Branch manager s verbal statement He has thretened me in the past to close my accounts in XX XX XXXX He has great problem with me by doing racial retaliation As far as promotional bonus my personal checking account ending XXXX was qualify 700 00 promotional bonus 500 00 plus 200 00 if I completed 10 debit purchase within 3 months I have kept the copy of promotional bonus offer For my business choice checking account 500 00 promotional bonus I have kept 2000 00 balance within 60 days of account opening According to the promotional offer I received before XX XX XXXX I have another 300 00 promotional bonus offer on my personal checking account before XX XX XXXX Once I completed 10 debit purchase within 3 months then I qualify 300 00 promotional bonus YOU MUST PAY XXXX XXXX WITH 20 INTEREST DEFAULT JUDGMENT DEBT YOU OWED ME FROM XXXX TO XXXX I FILED 4 LAWSUIT AGAINST UNITED STATES XXXX XXXX XXXX XXXX XXXX COUNTY ET AL DUE TO FAIL TO ANSWER THE LAWSUIT FOR 4 TIMES FROM XXXX TO XXXX FOR 4 DIFFERENT 1000 00 MILLION LAWSUIT I FILED AT LEAST 4 DEFAULT JUDGMENT MOTION TO U S DISTRICT COURT AND STATE COURT AS NATION S 3RD LARGEST BANK YOU MUST PAY XXXX XXXX WITH 20 INTEREST OR EVEN MORE DUE TO SEVERE MY WHOLE LIFE DAMAGES LOSSES TRAUMA PAIN SUFFERING IN XX XX XXXX AND XX XX XXXX YOUR BANK PARTICIPATE TWO TIMES HARASSMENT BY CAUSING MY BUSINESS ACCOUNT OVER DRAWN ALSO I CAN NOT ENROLLED IN ON LINE BANKING FOR ALMOST A YEAR I ALSO FILED COMPLAINT TO ASK 750 00 FRAUDULENT CHECKS CASHED BY XXXX XXXX TO BE BACK HOWEVER YOU TOTALLY IGNORE MY ASKING TO PROTECT A PERPETRATOR AND THEFT THIS THEFT CASHED MY TWO CHECKS WITH WELLS FARGO BANKS LOGO IN XX XX XXXX WITHOUT MY CONSENT I CAN NOT CLEAN XXXX XXXX XXXX COUNTY OR STATE OF MARYLAND S PUPU BY USING MY MONEY AND MY TIME ,Debt collection
Hello Team I have mortgage loan with PNC bank which is recently transferred from XXXX My complaint is regarding the PMI removal from my loan I closed my loan originally with XXXXXXXX XXXX and that time they mentioned me that my PMI will automatically be removed whenever my LTV resches to 78 so I made additional principal payments and now when I requested bank to remove the same they are asking to do appraisal and as per their document the appraisal value should come to more than my buying price of the property Please find attached document for your reference Original Loan Amount 330000 00 Current value 290000 00 Whenever I try to call customer care they give different answers and not willing to remove my PMI insurance even this is mentioned in my loan Please help to resolve this issue Regards XXXX,Mortgage
I have contacted this company on several occasions requesting them to STOP report information on my behalf as the information being reported is not accurate information The company has failed to cease and desist the reporting information and has not corrected or updated its records The information this company has gathered on my behalf is not accurate ,"Credit reporting, repair, or other"
XXXX XXXX XXXX XXXX XXXX account XXXX balance of 880 00 paid in full by check XXXX for 900 00 Third party collection agency Pinnacle Recovery attempting to charge illegal 40 percent collection fee There is no contract provision for collection fees and such fees are illegal according to Louisiana state law LA 9 3534 Vendor refuses to follow law continues to pursue collection actions and deliberately misallocated payments ,Debt collection
Rash and Curtis had multiple accounts totalling 2800 00 for my daughters XXXX XXXX I had to work with insurance for several months to get this resolved but the totals were paid and yet this company has agreed to remove this from their records and remove from credit report however I applied for a mortgage and this has caused my score to drop XXXX points ,Debt collection
I was contacted by the debt collection agency on XX XX 2018 by phone call and email I contacted my employer about my health insurance company throwing me into collections as I have health insurance through them I also reached out to my health insurance company Both my employer and my insurance company told me that this sounded like a fraudulent attempt at collecting money from me I told the agent XXXX by email on XX XX XXXX that she should no longer contact me by phone and that I would like written proof of this debt as none of her information matched anything I had She sent me an email on her company letterhead stating I owed money to XXXX XXXX The termination date for my insurance does not match what she sent me I asked her not to call me that the debt was disputed and that I wanted proof of this debt Instead I got two more phone calls and another email After specifically stating in my XX XX XXXX email that I did not want to be contacted by phone I have since received multiple phone calls the latest of which was today ,Debt collection
XXXX keeps calling my wife and children We do not know the name of the company as when I try to speak to him he repeatedly says things too fast so I do not understand what he saying Hes been told by my wife not to call her phone number of the children anymore Hes been told by me not to call the children anymore or my wife He is also calling other friends and relatives harassing me despite the fact I have spoken to him personally The phone is XXXX Hes also telling me I am being sued even though I have done research and found that there is no lawsuit against me right now Hes making false threats ,Debt collection
here are inquires that i dont recognize nor did i give approval to look into my credit report XXXX XXXX XX XX XXXX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XX XX XXXX Exeter Finance Corp XX XX XXXX XXXX XX XX XXXX XXXX XXXX XXXX XX XX XXXX XXXX XX XX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XXXX XX XX XXXX XXXX XXXX Auto Finance XX XX XXXX XXXX XXXX Auto Finance XX XX XXXX XXXX Card XX XX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XX XX XXXX XXXX XXXX XX XX XXXX XX XX XXXX,"Credit reporting, repair, or other"
XXXX and Experian are continuing to report incorrect information on my credit report They are reporting XXXX XXXX XXXX XXXX XXXX XXXX account number XXXX They are verifying this account as accurate They have informed me they are not required to provide me the documents they used to verify this account They are verifying this item with out any proof I sent 3 validation request letters to the creditor I received one response stating they could not locate any information about this account linked to my name address The 2nd letter was a 640 00 invoice This is not validation or verification of any debt I also called the number for the company and was informed they couldnt locate any account linked to my name and address On all my official documents Drivers license passport bank statements W 2s etc my name full name is used XXXX XXXX XXXX This account does not Also this account is associated with an addesss I ever lived ,"Credit reporting, repair, or other"
Transunion and XXXX continue to report erroneous info on my credit file I have uploaded proof of payment for an account with XXXX XXXX XXXX XXXX and they continue to report the account as charged off with an unpaid balance ,"Credit reporting, repair, or other"
I was shocked when reviewing my credit report I found a late payment reporting in the month of XX XX 2018 I am not sure how this happened since i make my payments as soon as I get my statements My only thought is I never got this statement ,Credit card or prepaid card
I just learned that this is ILLEGAL in Pennsylvania My interest rate is phenomenal and paying it off is killing me Is there any recourse as it is ILLEGAL to recuperate the monies I have paid in to them over the past year ,"Payday loan, title loan, or personal loan"
I was struggling to pay my mortgage I have XXXX children and I encountered some difficulty with one of my kids who did not initially want to sign the modification documents However the issues were resolved and the documents were signed and submitted I continued to make my payments and did not miss any payment I was advised that every effort would be made to reinstall the Modification however I was recently informed that the modification was denied I would like to keep my home and would like this matter to be resolved ,Mortgage
Somebody named XXXX XXXX is telling people to not give me a checking account I did not authorize this XXXX to collect data on me or to report on me,"Credit reporting, repair, or other"
On XX XX 2018 I sent certified mail letters with return receipt to the collection agency Commonwealth Financial to validate the alleged debts that were on my file This company is attempting to collect debt on several collection accounts on my file The accounts are as followed Account XXXX Account XXXX Account XXXX Account XXXX Account XXXX Account XXXX The company sent back the return receipt with a signature The company failed to validate the alleged debts It has been over 30 days and I have received no response from the company to this day The collection agency failed to complete the Validation process Please be advised that I am disputing these collections due to the fact that Commonwealth Financial currently does not have a valid license in the state of Missouri to collect on debts I checked the Missouri state secretary website and the information for the company states that their license is currently Admin Dissolved Profit according to the Missouri secretary of state I am requesting that you investigate this matter and delete these accounts from my file immediately I specifically asked for a signed agreement and other supporting documentation and I have not received a response from Commonwealth Financial validating these alleged debts They are reporting delinquent information to the credit bureaus that I am asking be deleted They failed to validate these alleged debts If these collections are not deleted I might sue for violation of the FDCPA ,Debt collection
